"MSE","MAE","ACC","MSE_NX","MAE_NX","ACC_NX"
3.10682982415296,1.30690295221673,0.934426229508197,3.13357414341105,1.32385416921431,0.934426229508197
2.20535095562522,1.05520811700898,0.950819672131147,2.15143889767082,1.070841936088,0.950819672131147
3.71660279118545,1.38605074800046,0.885245901639344,3.98344123704388,1.4111983529238,0.885245901639344
3.04620007451171,1.32655312336066,0.833333333333333,3.18411384033819,1.37872507284924,0.833333333333333
4.831678122141,1.68844299258405,0.934426229508197,4.57388902800164,1.66286478645474,0.934426229508197
3.206045348041,1.37139435910953,0.883333333333333,3.17450249023415,1.33238576022009,0.85
3.64147088317593,1.51595882547164,0.85,3.33673147286913,1.44039184377456,0.866666666666667
3.59946214166362,1.35161492271713,0.833333333333333,3.45532457683992,1.31328279647338,0.833333333333333
4.43452051351291,1.4717991614648,0.933333333333333,4.54968178833611,1.52903341040847,0.933333333333333
2.6248181240419,1.32511637177039,0.866666666666667,2.74566955781018,1.36102615556131,0.85
